,name,dob,gender,movies,dod
0,Scarlett Johansson,1984-11-22,F,"[{'title': 'Lucy', 'year': '2014'}, {'title': 'The Other Boleyn Girl', 'year': '2008'}, {'title': 'The Avengers', 'year': '2012'}, {'title': 'Black Widow', 'year': '2021'}, {'title': 'Girl With a Pearl Earring', 'year': '2003'}, {'title': 'Marriage Story', 'year': '2019'}]",
1,Morgan Freeman,1937-01-06,M,"[{'title': 'RED'}, {'title': 'Wanted', 'year': '\t2008'}]",
2,Javier Bardem,1969-01-03,M,"[{'title': 'Dune', 'year': '2021'}, {'title': 'Skyfall', 'year': '2012'}, {'title': 'Eat Pray Love', 'year': '2010'}, {'title': 'The Roads Not Taken', 'year': '2020'}]",
3,Christian Bale,1974-01-30,M,"[{'title': 'Batman Begins', 'year': '2005'}, {'title': 'Knight of Cups', 'year': '2015'}, {'title': 'Exodus: Gods and Kings', 'year': '2014'}]",
4,Leonardo DiCaprio,1974-11-11,M,"[{'title': 'Catch Me If You Can', 'year': '2002'}, {'title': 'Django Unchained', 'year': '2012'}, {'title': 'The Wolf of Wall Street', 'year': '2013'}, {'title': 'Romeo + Juliet', 'year': '1996'}, {'title': 'Shutter Island', 'year': '2010'}, {'title': 'The Revenant', 'year': '2015'}]",
5,"Anthony			
Hopkins",1937-12-31,M,"[{'title': '\nDracula', 'year': '1991'}, {'title': 'The Wolfman', 'year': '2010'}, {'title': 'Joe Black', 'year': '1998'}, {'title': 'Hannibal', 'year': '2001'}, {'title': 'The Silence of the Lambs', 'year': '\n1991'}]",
6,Gary Oldman,1958-03-21,M,"[{'title': 'Léon: The Professional', 'year': '1994'}, {'title': 'The Book of Eli', 'year': '2010'}, {'title': 'The Dark Knight', 'year': '\t2008'}]",
7,Robin Williams,1951-07-21,M,"[{'title': 'Dead Again', 'year': '1991'}, {'title': 'Flubber', 'year': '1997'}, {'title': 'Good Morning, Vietnam', 'year': '1987'}, {'title': 'Patch Adams', 'year': '1998'}, {'title': 'Good Will Hunting', 'year': '1997'}, {'title': 'Jumanji', 'year': '1995'}, {'title': 'Mrs. Doubtfire', 'year': '1993'}, {'title': 'Dead Poets Society', 'year': '1989'}]",2014-11-08
8,Rami Malek,1981-12-05,M,"[{'title': 'Bohemian Rhapsody', 'year': '2018'}, {'title': 'No Time to Die', 'year': '2021'}, {'title': 'Night at the Museum: Secret of the Tomb', 'year': '2014'}]",
9,Seth Rogen,1982-04-15,M,"[{'title': 'Long Shot', 'year': '2019'}, {'title': 'Neighbors', 'year': '2014'}]",
10,Jeff Bridges,1949-04-12,M,"[{'title': 'True Grit'}, {'title': 'Jagged Edge'}, {'title': 'K-PAX'}, {'title': 'Iron Man'}, {'title': 'Tron'}, {'title': 'Big Lebowski'}]",
11,Jesse Eisenberg,1983-05-10,M,"[{'title': 'Resistance', 'year': '2020'}, {'title': 'Batman v Superman: Dawn of Justice', 'year': '2016'}, {'title': 'The Social Network', 'year': '2010'}]",
12,Winona Ryder,1971-10-29,F,"[{'title': 'The Plot Against America', 'year': '2020'}, {'title': 'The Iceman', 'year': '2012'}, {'title': 'Black Swan', 'year': '2010'}, {'title': 'Little Women', 'year': '1994'}, {'title': 'Show Me a Hero', 'year': '2015'}]",
13,Charlie Chaplin,1889-04-16,M,"[{'title': 'The Kid', 'year': '1921'}, {'title': 'The Circus', 'year': '1928'}, {'title': 'Monsieur Verdoux', 'year': '1947'}, {'title': 'Modern Times', 'year': '1936'}, {'title': 'The Gold Rush', 'year': '1925'}, {'title': 'The Great Dictator', 'year': '1940'}, {'title': 'Limelight', 'year': '1952'}, {'title': 'City Lights', 'year': '1931'}, {'title': 'A King in New York', 'year': '1957'}, {'title': 'A Countess from Hong Kong', 'year': '1967'}]",1977-12-25
14,Woody Harrelson,1961-07-23,M,"[{'title': 'True Detective', 'year': '2014'}, {'title': 'The People vs. Larry Flynt', 'year': '1996'}, {'title': 'Now You See Me 2', 'year': '2016'}, {'title': 'Solo: A Star Wars Story', 'year': '2018'}, {'title': 'The Hunger Games', 'year': '2012'}]",
15,Matt Damon,1970-08-10,M,"[{'title': 'The Great Wall', 'year': '2016'}, {'title': 'Saving Private Ryan', 'year': '1998'}, {'title': 'The Martian', 'year': '2015'}, {'title': 'Deadpool 2', 'year': '2018'}]",
16,"Edward
Norton


",1969-08-18,M,"[{'title': 'Fight Club', 'year': '1999'}, {'title': 'Birdman', 'year': '2014'}, {'title': 'Pride and Glory', 'year': '2008'}, {'title': 'Collateral Beauty', 'year': '2016'}]",
